Order_ID,Order_Date,Month,Quarter,Year,Customer_ID,Customer_Name,State,City_Tier,Category,Product_Name,MRP,Discount_Pct,Sale_Price,Quantity,Revenue,COGS,Profit,Profit_Margin,Payment_Mode,Order_Status,Channel,Rating
AMZ100000,2023-11-24,November,Q4,2023,CUST45741,Zarna Shenoy,Maharashtra,Tier-1,Beauty,Himalaya Face Wash,2249.5,25,1687.12,1,1687.12,1131.96,555.16,32.91,UPI,Cancelled,Mobile App,2.6
AMZ100001,2023-12-20,December,Q4,2023,CUST45713,Madhavi Bawa,Delhi,Tier-1,Electronics,Realme 10 Pro,45975.62,5,43676.84,1,43676.84,29036.62,14640.22,33.52,Net Banking,Delivered,Mobile App,4.0
AMZ100002,2022-12-11,December,Q4,2022,CUST16698,Ishita Saraf,Haryana,Tier-2,Electronics,OnePlus 11,38611.68,13,33592.16,1,33592.16,24762.93,8829.23,26.28,UPI,Returned,Mobile App,3.4
AMZ100003,2023-01-23,January,Q1,2023,CUST15164,Chavvi Pingle,Uttar Pradesh,Tier-2,Home & Kitchen,Pidilite Fevicol,20206.14,28,14548.42,1,14548.42,7091.6,7456.82,51.26,Cash on Delivery,Delivered,Mobile App,4.0
AMZ100004,2022-03-23,March,Q1,2022,CUST25256,Ansh Vig,Delhi,Tier-1,Home & Kitchen,Pidilite Fevicol,17657.61,6,16598.15,2,33196.3,22637.24,10559.06,31.81,UPI,Returned,Website,3.6
AMZ100005,2023-10-26,October,Q4,2023,CUST51613,Yutika Rajagopal,Gujarat,Tier-1,Home & Kitchen,Milton Water Bottle,8977.48,26,6643.34,2,13286.68,9712.51,3574.17,26.9,Credit Card,Cancelled,Mobile App,3.1
AMZ100006,2024-02-26,February,Q1,2024,CUST13665,Arya Wagle,Uttar Pradesh,Tier-2,Books,NCERT Class 12 Physics,791.67,19,641.25,1,641.25,350.95,290.3,45.27,Credit Card,Delivered,Website,3.5
AMZ100007,2023-10-21,October,Q4,2023,CUST27359,Jyoti Tank,Odisha,Tier-3,Electronics,Realme 10 Pro,84917.96,15,72180.27,1,72180.27,43291.52,28888.75,40.02,Credit Card,Delivered,Mobile App,3.9
AMZ100008,2022-05-22,May,Q2,2022,CUST43392,Nisha Grover,Rajasthan,Tier-2,Home & Kitchen,Pidilite Fevicol,22459.9,17,18641.72,1,18641.72,13966.33,4675.39,25.08,Net Banking,Delivered,Mobile App,4.7
AMZ100009,2023-04-25,April,Q2,2023,CUST44676,Gautam Bala,Madhya Pradesh,Tier-3,Fashion,Denim Jeans Men,3465.31,48,1801.96,1,1801.96,1017.18,784.78,43.55,Debit Card,Cancelled,Mobile App,4.2
AMZ100010,2022-10-28,October,Q4,2022,CUST39735,Rajeshri Garg,Odisha,Tier-3,Electronics,Canon EOS M50,48789.36,13,42446.74,2,84893.48,46865.67,38027.81,44.79,UPI,Delivered,Mobile App,3.2
AMZ100011,2023-06-04,June,Q2,2023,CUST49909,Pooja Mody,Telangana,Tier-1,Sports,Yonex Badminton Racket,9151.49,37,5765.44,2,11530.88,8100.45,3430.43,29.75,Credit Card,Delivered,Website,4.4
AMZ100012,2022-11-11,November,Q4,2022,CUST25785,Mohammed Kurian,Kerala,Tier-2,Sports,Cosco Cricket Bat,3443.31,10,3098.98,2,6197.96,3464.0,2733.96,44.11,Cash on Delivery,Delivered,Mobile App,4.3
AMZ100013,2023-06-25,June,Q2,2023,CUST49753,Veda Ganesh,Madhya Pradesh,Tier-3,Electronics,HP Laptop 15s,12191.69,20,9753.35,4,39013.4,19488.68,19524.72,50.05,Net Banking,Delivered,Website,4.4
AMZ100014,2022-05-04,May,Q2,2022,CUST26246,Aayush Saraf,Haryana,Tier-2,Beauty,Nivea Body Lotion,1002.98,33,672.0,1,672.0,406.74,265.26,39.47,Credit Card,Delivered,Website,2.6
AMZ100015,2022-03-11,March,Q1,2022,CUST12058,Neha Jain,Kerala,Tier-2,Sports,Decathlon Yoga Mat,2435.11,12,2142.9,2,4285.8,2004.31,2281.49,53.23,Debit Card,Delivered,Website,3.1
AMZ100016,2023-02-21,February,Q1,2023,CUST22478,Rajeshri Ravel,Delhi,Tier-1,Beauty,Nykaa Nail Polish,1662.78,40,997.67,1,997.67,590.51,407.16,40.81,UPI,Delivered,Mobile App,3.6
AMZ100017,2022-04-11,April,Q2,2022,CUST13972,Harshil Lalla,West Bengal,Tier-2,Books,NCERT Class 12 Physics,703.69,3,682.58,2,1365.16,1017.38,347.78,25.48,Net Banking,Delivered,Website,4.5
AMZ100018,2023-04-19,April,Q2,2023,CUST26371,Watika Salvi,Delhi,Tier-1,Electronics,Realme 10 Pro,17927.59,19,14521.35,1,14521.35,7333.96,7187.39,49.5,UPI,Returned,Website,2.7
AMZ100019,2022-08-07,August,Q3,2022,CUST36282,Vivaan Ratta,Karnataka,Tier-1,Beauty,Lakme Foundation,2785.46,25,2089.1,1,2089.1,1244.46,844.64,40.43,UPI,Delivered,Mobile App,2.5
AMZ100020,2024-01-19,January,Q1,2024,CUST46422,Warjas Merchant,Odisha,Tier-3,Books,Ikigai,647.85,16,544.19,1,544.19,358.61,185.58,34.1,EMI,Delivered,Mobile App,2.9
AMZ100021,2022-02-21,February,Q1,2022,CUST48284,Yoshita Som,Maharashtra,Tier-1,Home & Kitchen,Godrej Refrigerator,14541.63,22,11342.47,1,11342.47,6171.23,5171.24,45.59,Net Banking,Cancelled,Website,2.9
AMZ100022,2023-02-18,February,Q1,2023,CUST17856,Anya Radhakrishnan,Bihar,Tier-3,Sports,Nivia Football,2101.5,29,1492.06,1,1492.06,1057.19,434.87,29.15,Cash on Delivery,Delivered,Website,4.0
AMZ100023,2022-07-29,July,Q3,2022,CUST53891,Sanaya Kothari,Rajasthan,Tier-2,Sports,Nivia Football,6675.52,28,4806.37,1,4806.37,3510.63,1295.74,26.96,EMI,Delivered,Mobile App,3.2
AMZ100024,2023-07-31,July,Q3,2023,CUST16552,Nitara Jain,West Bengal,Tier-2,Fashion,Sports Shoes Nike,1716.65,14,1476.32,1,1476.32,939.45,536.87,36.37,UPI,Cancelled,Mobile App,3.8
AMZ100025,2023-07-11,July,Q3,2023,CUST56107,Pahal Zachariah,Odisha,Tier-3,Fashion,Formal Shoes Men,529.2,25,396.9,1,396.9,197.39,199.51,50.27,Debit Card,Cancelled,Mobile App,3.8
AMZ100026,2024-01-31,January,Q1,2024,CUST46256,Darsh Nazareth,Odisha,Tier-3,Beauty,Mamaearth Vitamin C Serum,2022.83,18,1658.72,1,1658.72,1189.16,469.56,28.31,Credit Card,Delivered,Website,4.0
AMZ100027,2022-02-22,February,Q1,2022,CUST16048,Eesha Agate,Delhi,Tier-1,Beauty,Biotique Bio Sunscreen,2092.74,26,1548.63,1,1548.63,813.55,735.08,47.47,EMI,Returned,Website,2.6
AMZ100028,2023-03-14,March,Q1,2023,CUST46759,Jairaj Varma,Punjab,Tier-2,Home & Kitchen,Milton Water Bottle,24496.98,10,22047.28,2,44094.56,27140.38,16954.18,38.45,UPI,Delivered,Mobile App,4.9
AMZ100029,2022-05-11,May,Q2,2022,CUST12741,Nidhi Mittal,Telangana,Tier-1,Beauty,Pantene Shampoo,203.48,33,136.33,1,136.33,67.41,68.92,50.55,Debit Card,Delivered,Mobile App,4.7
AMZ100030,2023-09-28,September,Q3,2023,CUST59117,Mohini Dora,Punjab,Tier-2,Fashion,Saree Silk Banarasi,692.41,45,380.83,3,1142.49,653.41,489.08,42.81,Credit Card,Delivered,Mobile App,4.9
AMZ100031,2023-11-17,November,Q4,2023,CUST26263,Owen Reddy,Maharashtra,Tier-1,Fashion,Handbag Women Leather,1059.93,31,731.35,2,1462.7,838.88,623.82,42.65,Debit Card,Delivered,Mobile App,2.8
AMZ100032,2022-08-22,August,Q3,2022,CUST24609,Tamanna Nath,Delhi,Tier-1,Electronics,Fire TV Stick 4K,18760.98,19,15196.39,1,15196.39,10579.13,4617.26,30.38,UPI,Delivered,Mobile App,3.5
AMZ100033,2023-07-04,July,Q3,2023,CUST31702,Bachittar Nayar,Madhya Pradesh,Tier-3,Home & Kitchen,Philips Air Fryer,7085.26,25,5313.94,1,5313.94,3474.55,1839.39,34.61,UPI,Delivered,Website,2.9
AMZ100034,2023-09-13,September,Q3,2023,CUST43516,Ekbal Lad,Karnataka,Tier-1,Home & Kitchen,Prestige Pressure Cooker,14973.8,16,12577.99,2,25155.98,13687.45,11468.53,45.59,UPI,Returned,Website,3.0
